,,21-Jan-09,,,
Anthem AV pre/pro RS-232 commands,,,,,
Main Zone Specific Commands,,,,,
P2TE?,,query Zone2 tone controls enabled returns P2TEx,,,
P2?,,"query Zone2 status: returns P2SxVsyy.yMn where x is source, syy.y is volume and n is mute state",,,
P2Q?,,"returns an ASCII string description of the current processing mode for current source in Zone2 (i.e. the string on left hand side of lower line of LCD display) - always returns ""Stereo""",,,
Zone3 Specific Commands,,,,,
Command,Parameters,Description,,,
P3P,x,Zone3 Power on/off ,,,
,,"where x = 0,1 (off, on)",,,
P3S,n,Set zone 3 source to n ('M'=main).,,,
P3X,nm,Set zone 3 to video source n and audio source m simulcast.,,,
P3V,sxx.xx,"Set Zone3 volume to sxx.xx dB where sxx.xx= Zone3 Max Vol to -62.5 dB in 1.25 dB steps. If sxx.xx is replaced by '?' then print the current value. If sxx.xx is replaced by ""U"" or ""D"" then go up or down by one step. If ""U"" or ""D"" is followed by a floating point number then go up or down by this amount.",,,
P3L,sxx.xx,Set Zone3 balance to sxx.xx dB where sxx.xx = +12.5 to -12.5 dB in 1.25 dB steps. If sxx.xx is replaced by '?' then print the current value.,,,
P3T,sxx.xx,Set Zone3 treble to sxx.xx dB where sxx.xx = +14.0 to -14.0 dB in 2.0 dB steps. If sxx.xx is replaced by '?' then print the current value.,,,
P3B,sxx.xx,Set Zone3 bass to sxx.xx dB where sxx.xx = +14.0 to -14.0 dB in 2.0 dB steps. If sxx.xx is replaced by '?' then print the current value.,,,
P3M,x,Mute/un-mute Zone3  ,,,
,,"where x= 0,1 (un-mutes, mutes)",,,
P3MT,,Mute/Unmute toggle on Zone3,,,
P3TE,x,Set Zone3 tone controls,,,
,,"where x=0,1 (bypassed, enabled)",,,
P3s,,Show status of Zone3 on front panel and on TV (if OS enabled),,,
P3SS,x,Source seek in Zone3,,,
,,"where x = +,-",,,
P3Z,x,Turn On Sleep Timer in Zone3,,,
,,"where x = 0,1,2,3 (Off, 30 min, 60 min, 90 min)",,,
P3P?,,query Zone3 power: returns P3Px,,,
P3S?,,query Zone3 source: returns P3Sx (or P3Xxy if in simulcast),,,
P3TE?,,query Zone3 tone controls enabled returns P3TEx,,,
P3?,,"query Zone3 status: returns P3SxVsyy.yMn where x is source, syy.y is volume and n is mute state",,,
P3Q?,,"returns an ASCII string description of the current processing mode for current source in Zone3 (i.e. the string on left hand side of lower line of LCD display) - always returns ""Stereo""",,,
"Main, Zone2 & Zone3 Common Commands",,,,,
Command,Parameters,Description,,,
,,"Note that all tuner commands work regardless of the main power state. If the main power is on each command operates as described. If the main power is off then each command will return an additional string, ""Main Off"", after any other return string.",  ,,
TAT,xxxx,"Set tuner to AM band, frequency xxxx KHz",,,
,,"where xxxx = 540 to 1600, in 10 KHz step",,,
TATU,,Tune up one step on AM band (will switch to AM if on FM band),,,
TATD,,Tune down one step on AM band (will switch to AM if on FM band),,,
TFT,xxx.x,"Set tuner to FM band, frequency xxx.x MHz",,,
,,"where xxxx = 87.5 to 107.9, in 0.1 MHz step",,,
TFTU,,Tune up one step on current FM band (will switch to FM1 if on AM),,,
TFTD,,Tune down one step on current FM band (will switch to FM1 if on AM),,,
TAP,y,"Set tuner to AM band, using preset y (1,2…6)",,,
TFP,xy,"Set tuner to FM band x (1,2,or 3), using preset y (1,2…6)",,,
TAS,y=zzzz,Set preset y of tuner AM band to zzzz KHz,,,
,,"where xxxx = 540 to 1600, in 10 KHz step",,,
TASy?,,"Query AM preset, where y is AM preset (1,2,3,4,5,6).",,,
,,Returns TASy=zzzz where z is station frequency,,,
TFS,xy=zzz.z,"Set FM band x (1,2,or 3), preset y to zzz.z MHz",,,
,,"where xxxx = 87.5 to 107.9, in 0.1 MHz step",,,
TFSxy?,,"Query FM preset, where x=bank (1,2,3) and y=FM preset.",,,
,,Returns TFSxy=zzz.z where z is station frequency.,,,
TT?,,query current station: returns TATxxxx or TFTxxx.x,,,
T,+,Tuner seek up from current station,,,
T,-,Tuner seek down from current station,,,
TH,x,Set tuner mode,,,
,,"where x=0,1,2 (stereo, hi-blend, mono)",,,
TH?,,Query tuner mode,,,
,,"Returns THx where x=0(stereo), 1(hi-blend), 2(mono)",,,
t1T,x,Set trigger 1,,,
,,"where x=0,1 (disabled, enabled)",,,
t2T,x,Set trigger 2,,,
,,"where x=0,1 (disabled, enabled)",,,
t3T,x,Set trigger 3,,,
,,"where x=0,1 (disabled, enabled)",,,
FP,x,Set front panel display intensity ,,,
,,"where x =0,1,2,3 (Off, low, med, hi)",,,
FPL,x,"Set front panel lockout where x=0,1 (0=off,1=on) - this lock out front panel controls except for power buttons",,,
,,Note that this value is reset to Off every time the power is turned off,,,
Setup Commands,,,,,
Rename Sources,,,,,
Command,Parameters,Description,,,
SN,nmmmmmm,"Set ""SOURCE SETUP"" n (n not = 4) ""RENAME"" source name to mmmmmm = any alphanumeric characters (up to 6) except ';' which is a command separator.",,,
Preset for Sources,,,,,
Command,Parameters,Description,,,
,,"Note that anywhere in this document ""source n"" may, unless specified otherwise, be a character equal to '0'-'9' or 'c'-'j' where (0=CD, 1=2-Ch BAL, 2=6-Ch S/E, 3=tape, 4=FM/AM, 5=DVD1, 6=TV1, 7=SAT1, 8=VCR, 9=AUX, c=current main zone source, d=DVD2, e=DVD3, f=DVD4, g=TV2, h=TV3, i=TV4, j=SAT2).",,,
SUC,na,"Set source n preferred speaker configuration to a=C,M,A (C=cinema, M=music, A=Auto LFE). Note that Auto LFE cannot be set for 6 Ch source.",,,
SUM,nx,"Set source n preferred stereo (2 Ch source) mode to x where x = 0,1,2,…9,a,..,i  (0=off, 1=AnthemLogic-Music,2=AnthemLogic-Cinema,3=PLIIx-Music,4=PLIIx-Movie,5=Pro Logic,6=Neo:6-Music,7=Neo:6-Cinema,8=all channel stereo,9=all channel mono,a=mono,b=mono academy,c=last used,d=PLIIx Movie+THX,e=PLIIx Matrix,f=PLIIx Game,g=THX Games Mode,h=Pro Logic +THX,i=Neo:6 Cinema+THX)",,,
SUP,nx,"Set source n preferred Dolby Digital 2.0 surround encoded (i.e. flagged) input effect to x where x = 0,1,2,,,j(0=PLIIx Movie, 1=PLIIx Movie+THX, 2=last used,3=same as 2 Ch,4=none,5=AnthemLogic Music,6=AnthemLogic Cinema,7=PLIIx Music,8=PLIIx Matrix,9=PLIIx Games,a=THX Games Mode,b=Pro Logic,c=Pro Logic+THX,d=Neo:6 Music,e=Neo:6 Cinema,f=Neo:6 Cinema+THX,g=All Channel Stereo,h=All Channel Mono,i=Mono,j=Mono Academy)",,,
SUE,nx,"Set source n preferred Dolby Digital EX encoded (i.e. flagged) input effects to x where x = 0,1,2,..,9 (0=off,1=Dolby Digital EX,2=THX Surround EX,3=PLIIx Movie,4=PLIIx Movie+THX,5=PLIIx Music,6=Neo:6, 7=Neo:6+THX,8=last used,9=Same as Dolby D 5.1)",,,
SUN,nx,"Set source n preferred DTS ES Matrix encoded input effect to x where where x =0,1,2,..,8 (0,1,3,5,6=off; 2,4=THX Cinema; 7=last used; 8=Same as DTS 5.1)",,,
SUW,nx,"Set source n preferred 7.1 input effect to x where x = 0,1,2 (0=None; 1=THX Cinema, 2=Last Used)",,,
SUX,nx,"Set source n preferred DD-5.1 input effect to x where x = 0,2,..,c(0=off,1=THX Cinema,2=THX Ultra2,3=THX Music,4=THX Surround EX,5=last used,6=THX Games Mode,7=PLIIx Movie,8=PLIIx Movie+THX,9=PLIIx Music,a=Dolby Digital EX,b=Neo:6,c=Neo:6+THX) Note that for older firmware that did not have a ""SUY"" command, this also affected the preferred 6.0 input effect on source 6-Ch SE.",,,
